2026-03-22 20:29:43,010 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:30:19,276 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:30:19,277 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:30:20,309 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:30:20,313 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:30:20,315 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:30:24,053 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:30:24,054 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:30:27,783 | INFO | grasp_system | 开始固定力抓取 force=200.00
2026-03-22 20:30:27,783 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:30:28,715 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:30:29,332 | INFO | grasp_system | 抓取前状态 - 接触点数量: 5, 总正压力: 399.2305, 平均摩擦系数: 0.333
2026-03-22 20:30:30,726 | WARNING | grasp_system | 无法获取物体动力学参数: float() argument must be a string or a number, not 'tuple'
2026-03-22 20:30:30,726 | INFO | grasp_system | 抓取完成 - 接触点数量: 6, 总正压力: 399.0067, 侧向摩擦力: -27.6053, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:30:33,518 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:30:33,519 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:30:37,247 | INFO | grasp_system | 抓取任务完成
2026-03-22 20:30:37,284 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:31:23,458 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:31:23,458 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:31:24,481 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:31:24,484 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
